R_fighter,B_fighter,gender,R_age,B_age,R_Height_cms,B_Height_cms,R_Weight_lbs,B_Weight_lbs,R_Reach_cms,B_Reach_cms,sig_str_landed_bout_diff,ev_diff,odds_diff,tot_str_landed_bout_diff,sig_str_pct_bout_diff
Alistair Overeem,Alexander Volkov,MALE,40,32,193.04,200.66,265,250,203.2,203.2,0,-95.05494505,-332,0,0
Cory Sandhagen,Frankie Edgar,MALE,28,39,180.34,167.64,135,135,177.8,172.72,0,275,700,0,0
Alexandre Pantoja,Manel Kape,MALE,30,27,165.1,165.1,125,125,170.18,172.72,0,20,225,0,0
Diego Ferreira,Beneil Dariush,MALE,36,31,175.26,177.8,155,155,187.96,182.88,0,25,230,0,0
Michael Johnson,Clay Guida,MALE,34,39,177.8,170.18,155,155,185.42,177.8,0,130.55555556000002,400,0,0
Mike Rodriguez,Danilo Marques,MALE,32,35,193.04,198.12,205,205,208.28,195.58,0,146.33333333000004,428,0,0
Molly McCann,Lara Procopio,FEMALE,30,25,162.56,162.56,125,125,157.48,170.18,0,83.50282486,317,0,0
SeungWoo Choi,Youssef Zalal,MALE,28,24,182.88,177.8,145,145,187.96,182.88,0,-131.52173913,-405,0,0
Dustin Poirier,Conor McGregor,MALE,32,32,175.26,175.26,155,155,182.88,187.96,0,-217.21311475,-555,0,0
Dan Hooker,Michael Chandler,MALE,30,34,182.88,172.72,155,155,190.5,180.34,0,30.37313433,239,0,0
Jessica Eye,Joanne Calderwood,FEMALE,34,35,167.64,167.64,125,125,167.64,165.1,0,-9.768009770000006,-12,0,0
Andrew Sanchez,Makhmud Muradov,MALE,32,30,185.42,187.96,185,185,187.96,190.5,0,-45.06993007,-258,0,0
Marina Rodriguez,Amanda Ribas,FEMALE,33,27,167.64,160.02,115,125,165.1,167.64,0,-220.14925373,-585,0,0
Brad Tavares,Antonio Carlos Junior,MALE,33,30,185.42,187.96,185,185,187.96,200.66,0,30.37313433,239,0,0
Julianna Pena,Sara McMann,FEMALE,31,40,167.64,167.64,135,135,175.26,167.64,0,-28.07692308,-235,0,0
Khalil Rountree Jr.,Marcin Prachnio,MALE,30,32,185.42,190.5,205,205,193.04,187.96,0,220.14925373,585,0,0
Nik Lentz,Movsar Evloev,MALE,36,26,172.72,170.18,145,145,172.72,182.88,0,-372.14285714,-950,0,0
Amir Albazi,Zhalgas Zhumagulov,MALE,27,32,165.1,162.56,125,125,172.72,167.64,0,-9.593859930000008,-12,0,0
Michael Chiesa,Neil Magny,MALE,33,33,185.42,190.5,170,170,190.5,203.2,0,-52.43243243000001,-268,0,0
Warlley Alves,Mounir Lazzez,MALE,30,33,180.34,185.42,170,170,182.88,193.04,0,-141.52173913,-415,0,0
Ike Villanueva,Vinicius Moreira,MALE,36,31,185.42,193.04,225,205,185.42,193.04,0,35.37313433,244,0,0
Roxanne Modafferi,Viviane Araujo,FEMALE,38,34,170.18,162.56,125,125,175.26,172.72,0,-230.14925373,-595,0,0
Matt Schnell,Tyson Nam,MALE,31,37,172.72,170.18,125,125,177.8,172.72,0,-28.07692308,-235,0,0
Lerone Murphy,Douglas Silva de Andrade,MALE,29,35,175.26,170.18,145,145,185.42,172.72,0,207.21311475,545,0,0
Omari Akhmedov,Tom Breese,MALE,33,29,182.88,190.5,185,185,185.42,185.42,0,-65.10691824,-287,0,0
Ricky Simon,Gaetano Pirrello,MALE,28,28,167.64,170.18,135,135,175.26,170.18,0,275,700,0,0
Su Mudaerji,Zarrukh Adashev,MALE,25,28,172.72,165.1,125,125,182.88,165.1,0,275,700,0,0
Dalcha Lungiambula,Markus Perez,MALE,33,32,172.72,185.42,185,185,193.04,185.42,0,45.06993007,258,0,0
Francisco Figueiredo,Jerome Rivera,MALE,31,25,167.64,177.8,135,135,175.26,182.88,0,60.48387097,280,0,0
Mike Davis,Mason Jones,MALE,28,25,182.88,177.8,145,155,182.88,177.8,0,77.85714286000002,310,0,0
Umar Nurmagomedov,Sergey Morozov,MALE,24,31,172.72,167.64,135,135,172.72,167.64,0,356.13207547,905,0,0
Victoria Leonardo,Manon Fiorot,FEMALE,30,30,165.1,170.18,125,125,162.56,170.18,0,-123.48837209,-385,0,0
Max Holloway,Calvin Kattar,MALE,29,32,180.34,180.34,145,145,175.26,182.88,0,76.27160494,300,0,0
Carlos Condit,Matt Brown,MALE,36,40,187.96,182.88,170,170,190.5,190.5,0,88.50282486,322,0,0
Santiago Ponzinibbio,Li Jingliang,MALE,34,32,182.88,182.88,170,170,185.42,180.34,0,207.21311475,545,0,0
Joaquin Buckley,Alessio Di Chirico,MALE,26,31,177.8,182.88,185,185,193.04,187.96,0,179.02877698,493,0,0
Punahele Soriano,Dusko Todorovic,MALE,28,26,180.34,185.42,185,185,182.88,187.96,0,-67.10691824,-289,0,0
Wu Yanan,Joselyne Edwards,FEMALE,24,25,172.72,172.72,125,135,167.64,177.8,0,0,0,0,0
Carlos Felipe,Justin Tafa,MALE,26,27,182.88,182.88,245,264,190.5,187.96,0,102.36842105,345,0,0
David Zawada,Ramazan Emeev,MALE,30,33,182.88,177.8,170,170,190.5,193.04,0,-173.63636364,-485,0,0
Sarah Moras,Vanessa Melo,FEMALE,32,32,170.18,165.1,135,135,170.18,165.1,0,136.52173913,410,0,0
Jacob Kilburn,Austin Lingo,MALE,25,26,175.26,177.8,145,145,182.88,177.8,0,-136.52173913,-410,0,0
Stephen Thompson,Geoff Neal,MALE,37,30,182.88,180.34,170,170,190.5,190.5,0,-11.617293169999995,-14,0,0
Jose Aldo,Marlon Vera,MALE,34,28,170.18,172.72,135,135,177.8,177.8,0,48.57142857,260,0,0
Michel Pereira,Khaos Williams,MALE,27,26,185.42,182.88,170,170,185.42,195.58,0,-25,-230,0,0
Marlon Moraes,Rob Font,MALE,33,32,172.72,167.64,135,135,180.34,170.18,0,91.17647059,320,0,0
Marcin Tybura,Greg Hardy,MALE,35,32,190.5,195.58,249,265,198.12,203.2,0,0,0,0,0
Anthony Pettis,Alex Morono,MALE,33,30,177.8,180.34,155,170,182.88,182.88,0,127.38095238,385,0,0
Sijara Eubanks,Pannie Kianzad,FEMALE,29,35,170.18,162.56,135,135,167.64,170.18,0,48.57142857,260,0,0
Deron Winn,Antonio Arroyo,MALE,31,31,167.64,190.5,185,185,177.8,185.42,0,-105.94594595,-345,0,0
Gillian Robertson,Taila Santos,FEMALE,27,25,167.64,165.1,125,125,172.72,160.02,0,56.03448276,270,0,0
Tafon Nchukwi,Jamie Pickett,MALE,26,32,182.88,187.96,205,185,195.58,203.2,0,245.14925373,610,0,0
Jimmy Flick,Cody Durden,MALE,30,29,170.18,170.18,125,125,172.72,170.18,0,73.30573248,294,0,0
Christos Giagos,Carlton Minus,MALE,30,27,177.8,177.8,155,170,180.34,190.5,0,256.01449275,630,0,0
Tony Ferguson,Charles Oliveira,MALE,31,36,177.8,180.34,155,155,187.96,193.04,0,105.94594595,345,0,0
Mackenzie Dern,Virna Jandiroba,FEMALE,27,32,162.56,160.02,115,115,160.02,162.56,0,77.5,300,0,0
Kevin Holland,Jacare Souza,MALE,28,41,190.5,185.42,185,185,205.74,182.88,0,40.92592593000001,250,0,0
Junior Dos Santos,Ciryl Gane,MALE,30,36,193.04,193.04,245,238,205.74,195.58,0,-300,-725,0,0
Cub Swanson,Daniel Pineda,MALE,37,35,172.72,170.18,145,145,177.8,175.26,0,-66.21052632,-284,0,0
Renato Moicano,Rafael Fiziev,MALE,27,31,172.72,180.34,155,155,180.34,182.88,0,-48.57142857,-260,0,0
Gavin Tucker,Billy Quarantillo,MALE,34,32,167.64,177.8,145,145,167.64,177.8,0,-112.36842105,-355,0,0
Tecia Torres,Sam Hughes,FEMALE,31,28,154.94,165.1,115,115,152.4,162.56,0,406.81818182,975,0,0
Chase Hooper,Peter Barrett,MALE,21,34,185.42,177.8,145,145,187.96,185.42,0,222.74193548,565,0,0
Jack Hermansson,Marvin Vettori,MALE,32,27,185.42,182.88,185,185,195.58,187.96,0,-35.37313433,-244,0,0
Ovince Saint Preux,Jamahal Hill,MALE,37,29,190.5,193.04,205,205,203.2,200.66,0,-83.50282486,-317,0,0
Gabriel Benitez,Justin Jaynes,MALE,32,31,172.72,170.18,155,155,180.34,172.72,0,123.48837209,385,0,0
Roman Dolidze,John Allan,MALE,32,27,187.96,185.42,205,205,193.04,190.5,0,110,360,0,0
Louis Smolka,Jose Quinonez,MALE,29,30,175.26,172.72,135,135,172.72,175.26,0,40.05755396000001,251,0,0
Matt Wiman,Jordan Leavitt,MALE,37,25,177.8,175.26,155,155,172.72,180.34,0,-286.19047619,-730,0,0
Ilia Topuria,Damon Jackson,MALE,23,32,170.18,180.34,145,145,175.26,180.34,0,173.63636364,485,0,0
Gian Villante,Jake Collier,MALE,35,32,190.5,190.5,230,230,193.04,198.12,0,110,360,0,0
Anthony Smith,Devin Clark,MALE,32,30,193.04,182.88,205,205,193.04,190.5,0,43.05755396000001,254,0,0
Miguel Baeza,Takashi Sato,MALE,28,30,187.96,177.8,170,170,187.96,185.42,0,82.85714286000002,315,0,0
Josh Parisian,Parker Porter,MALE,31,35,193.04,182.88,265,265,200.66,190.5,0,110,360,0,0
Spike Carlyle,Bill Algeo,MALE,27,31,172.72,182.88,145,145,180.34,185.42,0,83.50282486,317,0,0
Ashlee Evans-Smith,Norma Dumont,FEMALE,33,30,172.72,170.18,135,135,170.18,170.18,0,37.00729927,247,0,0
Jonathan Pearce,Kai Kamaka,MALE,28,25,182.88,170.18,145,145,180.34,175.26,0,-215.14925373,-580,0,0
Martin Day,Anderson Dos Santos,MALE,32,35,177.8,165.1,135,135,185.42,177.8,0,75.11976048,302,0,0
Gina Mazany,Rachael Ostovich,FEMALE,32,29,167.64,160.02,125,125,172.72,157.48,0,110,360,0,0
Su Mudaerji,Malcolm Gordon,MALE,24,30,172.72,170.18,125,125,182.88,180.34,0,220.14925373,585,0,0
Luke Sanders,Nate Maness,MALE,34,29,167.64,177.8,135,135,170.18,182.88,0,60.48387097,280,0,0
Deiveson Figueiredo,Alex Perez,MALE,32,28,165.1,167.64,125,125,172.72,165.1,0,190.03496503,511,0,0
Valentina Shevchenko,Jennifer Maia,FEMALE,32,32,165.1,162.56,125,125,167.64,162.56,0,844.00119976,2517,0,0
Mike Perry,Tim Means,MALE,29,36,177.8,187.96,170,170,180.34,190.5,0,53.33333333,270,0,0
Katlyn Chookagian,Cynthia Calvillo,FEMALE,31,33,175.26,162.56,125,125,172.72,162.56,0,-167.26415094,-470,0,0
Mauricio Rua,Paul Craig,MALE,38,32,185.42,190.5,205,205,193.04,193.04,0,-97.36842105,-340,0,0
Brandon Moreno,Brandon Royval,MALE,26,28,170.18,175.26,125,125,177.8,172.72,0,97.36842105,340,0,0
Joaquin Buckley,Jordan Wright,MALE,26,29,177.8,187.96,185,205,193.04,195.58,0,167.26415094,470,0,0
Antonina Shevchenko,Ariane Lipski,FEMALE,36,26,172.72,167.64,125,125,170.18,170.18,0,70.11976048,297,0,0
Daniel Rodriguez,Nicolas Dalby,MALE,33,36,185.42,180.34,170,170,187.96,187.96,0,220.14925373,585,0,0
Alan Jouban,Jared Gooden,MALE,38,26,182.88,182.88,170,170,185.42,195.58,0,53.33333333,270,0,0
Kyle Daukaus,Dustin Stoltzfus,MALE,27,29,190.5,182.88,185,185,193.04,190.5,0,198.25396825,545,0,0
Louis Cosce,Sasha Palatnikov,MALE,25,31,175.26,185.42,170,170,180.34,182.88,0,303.02197802,780,0,0
Paul Felder,Rafael Dos Anjos,MALE,36,36,180.34,172.72,155,155,177.8,177.8,0,-115,-365,0,0
Abdul Razak Alhassan,Khaos Williams,MALE,35,26,177.8,182.88,170,170,185.42,195.58,0,143.33333333000004,425,0,0
Kay Hansen,Cory McKenna,FEMALE,21,21,157.48,160.02,115,115,160.02,147.32,0,136.52173913,410,0,0
Brendan Allen,Sean Strickland,MALE,24,29,187.96,185.42,185,185,190.5,193.04,0,9.593859930000008,12,0,0
Ashley Yoder,Miranda Granger,FEMALE,33,28,170.18,170.18,115,125,175.26,172.72,0,-75.11976048,-302,0,0
Alex Morono,Rhys McKee,MALE,30,25,180.34,187.96,170,170,182.88,198.12,0,83.50282486,317,0,0
Randa Markos,Kanako Murata,FEMALE,35,27,162.56,154.94,115,115,160.02,157.48,0,-105,-355,0,0
Geraldo de Freitas,Tony Gravely,MALE,29,29,170.18,165.1,135,135,182.88,175.26,0,-49.43243243000001,-265,0,0
Don'Tale Mayes,Roque Martinez,MALE,28,34,198.12,177.8,260,250,205.74,182.88,0,167.26415094,470,0,0
Thiago Santos,Glover Teixeira,MALE,36,41,187.96,187.96,205,205,193.04,193.04,0,148.33333333000004,430,0,0
Andrei Arlovski,Tanner Boser,MALE,41,29,190.5,187.96,240,255,195.58,190.5,0,-202.21311475,-540,0,0
Raoni Barcelos,Khalid Taha,MALE,33,28,170.18,165.1,135,135,170.18,175.26,0,270,695,0,0
Claudia Gadelha,Yan Xiaonan,FEMALE,31,31,162.56,165.1,115,115,160.02,160.02,0,-60.48387097,-280,0,0
