Red Fighter,Blue Fighter,Betting Odds (Red),Betting Odds (Blue),Payout (Red),Payout (Blue),Date,Location,Country,Winner,Weight Class,Gender,Number of Rounds,Wins (Blue),Stance (Blue),Height_cms (Blue),Reach_cms (Blue),Weight_lbs (Blue),Wins (Red),Stance (Red),Height_cms (Red),Reach_cms (Red),Weight_lbs (Red),Age (Red),Age (Blue),Women's Strawweight Ranking (Blue),Women's Bantamweight Ranking (Blue),Heavyweight Ranking (Red),Welterweight Ranking (Blue),Knockdowns (Red),Knockdowns (Blue) ,Significant Strikes Landed (Red),Significant Strikes Landed (Blue),Average Accuracy of Significant Strikes Landed (Red),Average Accuracy of Significant Strikes Landed (Blue),Total Number of Strikes Landed (Red),Total Number of Strikes Landed (Blue),Total Number of Strikes Attempted (Red),Total Number of Strikes Attempted (Blue),Average Takedowns Landed (Red),Average Takedowns Landed (Blue),Accuracy of Takedowns Landed (Red),Accuracy of Takedowns Landed (Blue),Number of Submissions Attempted (Red),Guard Passes (Red),Guard Passes (Blue)
Alistair Overeem,Alexander Volkov,150,-182,150,54.94505495,2/6/21,"Las Vegas, Nevada, USA",USA,Blue,Heavyweight,MALE,5,6,Orthodox,200.66,203.2,250,33,Orthodox,193.04,203.2,265,40,32,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cory Sandhagen,Frankie Edgar,-400,300,25,300,2/6/21,"Las Vegas, Nevada, USA",USA,Red,Bantamweight,MALE,3,18,Orthodox,167.64,172.72,135,6,Switch,180.34,177.8,135,28,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexandre Pantoja,Manel Kape,-125,100,80,100,2/6/21,"Las Vegas, Nevada, USA",USA,Red,Flyweight,MALE,3,0,Southpaw,165.1,172.72,125,6,Orthodox,165.1,170.18,125,30,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diego Ferreira,Beneil Dariush,-125,105,80,105,2/6/21,"Las Vegas, Nevada, USA",USA,Blue,Lightweight,MALE,3,13,Southpaw,177.8,182.88,155,8,Orthodox,175.26,187.96,155,36,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Johnson,Clay Guida,-225,175,44.44444444,175,2/6/21,"Las Vegas, Nevada, USA",USA,Blue,Lightweight,MALE,3,17,Orthodox,170.18,177.8,155,11,Southpaw,177.8,185.42,155,34,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Rodriguez,Danilo Marques,-240,188,41.66666667,188,2/6/21,"Las Vegas, Nevada, USA",USA,Blue,Light Heavyweight,MALE,3,1,Orthodox,198.12,195.58,205,3,Southpaw,193.04,208.28,205,32,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Molly McCann,Lara Procopio,-177,140,56.49717514,140,2/6/21,"Las Vegas, Nevada, USA",USA,Blue,Women's Flyweight,FEMALE,3,0,Orthodox,162.56,170.18,125,3,Orthodox,162.56,157.48,125,30,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SeungWoo Choi,Youssef Zalal,175,-230,175,43.47826087,2/6/21,"Las Vegas, Nevada, USA",USA,Red,Featherweight,MALE,3,3,Switch,177.8,182.88,145,1,Orthodox,182.88,187.96,145,28,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dustin Poirier,Conor McGregor,250,-305,250,32.78688525,1/23/21,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Lightweight,MALE,5,10,Southpaw,175.26,187.96,155,19,Southpaw,175.26,182.88,155,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dan Hooker,Michael Chandler,-134,105,74.62686567,105,1/23/21,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,Lightweight,MALE,3,2,Orthodox,172.72,180.34,155,10,Switch,182.88,190.5,155,30,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
